,0:00:00,1:00:00,2:00:00,3:00:00,4:00:00,5:00:00,6:00:00,7:00:00,8:00:00,9:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
1/1/2020,3179.75,3444.25,2832.0,2307.75,1605.25,1368.0,1614.25,1725.25,2107.0,2513.5,3202.75,3955.5,4381.0,4665.25,5157.25,5138.25,4842.5,4879.75,4813.5,4212.75,3640.75,3153.5,2548.25,2102.5
1/2/2020,1454.5,974.25,779.25,805.0,1272.5,2727.25,4593.0,5052.75,4930.5,4728.75,4794.5,5030.5,4905.75,4750.5,4911.5,5097.5,4907.25,5181.0,4914.5,4263.5,3587.5,3165.5,2824.5,2126.75
1/3/2020,1393.75,988.75,752.5,853.0,1276.5,2581.5,4336.0,5032.75,4446.0,4443.0,4760.75,4866.75,5187.0,5343.0,5558.75,5703.5,5473.25,5299.25,5165.75,4775.75,4342.0,3890.25,3623.25,2944.25
1/4/2020,1909.5,1404.25,1270.5,1112.25,1083.25,1502.25,2232.5,2788.5,3449.25,4257.5,5164.25,5489.0,5794.0,5867.0,5999.5,5900.0,5904.25,5840.5,5460.0,4810.0,4600.5,3912.0,3769.5,3259.5
1/5/2020,2482.0,1743.0,1400.5,1227.0,965.75,1279.25,1814.5,2165.75,2792.75,3747.25,4769.5,5147.25,5490.75,5892.25,5581.0,5790.0,5707.5,5546.0,5522.75,4985.25,4282.0,3288.75,2789.25,2014.25
1/6/2020,1369.5,881.25,630.25,729.75,1404.75,3487.75,5512.25,5815.5,4927.5,5022.25,4719.0,5117.0,5411.25,5493.5,5749.25,5722.5,5614.5,5526.25,5228.0,4829.0,3846.25,3044.25,2801.0,2039.75
1/7/2020,1258.25,847.0,640.75,764.0,1296.75,3058.25,5142.0,5695.5,4965.0,5039.0,4910.25,4937.5,5324.0,5253.75,5525.5,5620.0,5689.0,5195.5,5390.75,4863.5,3923.5,3396.75,2734.25,1959.25
1/8/2020,1284.75,816.0,653.0,732.0,1310.0,3142.75,5271.75,5724.75,5064.0,5201.25,4961.75,4875.25,5279.0,3983.75,5537.5,5742.5,5640.25,5505.25,4970.75,5098.0,4116.25,3470.25,3011.5,2207.5
1/9/2020,1360.25,848.5,678.25,786.0,1293.25,3060.0,5236.75,5912.25,4995.0,5051.5,5106.25,5122.75,5386.75,5604.75,5816.5,5976.5,5736.0,5704.25,5462.25,5227.75,4221.75,3695.5,3308.25,2378.5
1/10/2020,1513.75,1028.75,798.0,862.0,1360.25,2972.75,5110.75,5842.5,5541.0,5258.25,5283.0,5479.75,5710.25,5896.25,6009.75,6325.75,5733.5,5666.0,5687.25,5313.5,4739.5,4273.0,3899.25,3080.75
1/11/2020,2301.25,1659.75,1364.5,1220.75,1111.5,1498.0,2382.25,2989.75,3845.0,4615.0,5003.25,5186.5,5438.25,5493.0,5244.5,5456.5,4949.0,4452.0,3881.0,3604.0,3424.0,3282.75,3176.75,2521.25
1/12/2020,2248.25,1537.5,1230.75,1129.25,930.25,1145.25,1744.5,2160.25,2775.0,3756.5,4760.0,5029.25,5489.25,5871.75,5804.25,5811.5,5526.0,5453.75,5463.5,4815.0,3980.75,3309.75,2756.75,2106.25
1/13/2020,1390.0,883.0,645.5,711.0,1404.5,3271.25,4946.5,5222.75,4816.0,4590.25,4719.25,4968.5,5197.25,5220.75,5322.75,5772.25,5737.0,5529.25,5067.25,4497.5,3675.75,3026.75,2537.75,1815.25
1/14/2020,1339.75,841.25,658.25,690.5,1237.75,3145.25,5391.75,5442.5,4957.0,4845.75,4644.0,4891.75,5051.25,4975.5,4966.25,5310.25,5040.0,4864.5,4774.25,4657.0,4018.75,3307.25,2798.0,2041.75
1/15/2020,1248.5,806.75,675.5,727.0,1231.75,3022.75,5258.25,5155.75,4558.5,4818.0,5097.25,5112.75,5239.5,5556.75,5733.75,5915.25,5903.0,5578.25,5302.0,4744.25,4206.25,3708.75,3086.25,2288.75
1/16/2020,1391.5,896.0,724.0,813.25,1339.5,3199.5,5052.75,5246.25,4988.75,5039.5,5146.0,5185.75,5401.25,5711.5,5807.5,6082.25,5913.75,5476.75,5311.5,5139.0,4510.25,4125.0,3374.25,2479.75
1/17/2020,1677.75,1152.25,906.75,989.0,1441.75,3140.0,5204.5,5852.25,5636.75,5490.5,5411.25,5588.75,5980.0,6021.25,6332.5,6006.25,5424.0,5505.0,5919.25,5568.25,5040.0,4756.5,4186.25,3504.75
