,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun
,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020
0:00:00,4327,2544,2475,3574,4469,2437,2138,2231,2473,2626,3798,3920,2441,2175,2155,2503,3021,4701,4534,3077,2282,2083,2339,2585,4304,4817,2322,2166,2186,2255,2748,4234,4438,2767,2065,2089,2107,2724,4143,4109,2678,1903,2209,2554,3341,5044,4724,2669,2179,2073,2455,2734,4144,4400,2464,1993,2327,2549,3140,4335,4954,2573,2018,2469,2345,2777,4884,4972,2955,2293,2328,2649,3001,4116,4138,2474,1828,1764,1625,1811,1760,1761,1145,1113,1019,1088,1128,1323,1244,955,983,894,918,893,818,752,735,758,751,840,885,1023,949,735,838,913,988,1039,1292,1186,800,1083,990,1059,1058,1385,1422,1043,1078,1160,1074,1305,1760,1792,1297,1261,1617,1352,1485,1559,2307,1414,1345,1427,1501,1810,2283,2518,1364,1447,1526,1548,2235,2572,2967,2293,1798,1656,1644,2094,2719,2222,1450,1300,1397,1513,1556,2198,3005,2033,1650,1798,2001,2439,2736,,,,,1940,2418,3526,3651,2365,1855,2036,1892,2437,3203,2940,2580,1877,2018,2280,2870,3506,3603,2649,2073,1997,2189,1858,3400,3988,2503,2037,2133,2126,2592,3536,3845,2689,2152,2127,2227,2622,3501,3666,2692,2081,2231,2169,2624,3635,3971,2814,2139,2317,2346,2397,3480,3921,2681,1980,2251,2253,2437,3549,4035,2688,2029,2167,2064,2227,3650,4319,2601,1797,1894,2254,2416,3658,4423
1:00:00,5046,1693,1689,2621,3254,1443,1420,1399,1522,1824,3070,2684,1414,1385,1370,1613,2204,2993,3558,2035,1424,1318,1591,1700,3110,3642,1422,1248,1408,1560,1753,3053,3214,1475,1320,1305,1407,1949,3055,3074,1608,1208,1395,1570,2099,3754,3422,1599,1433,1352,1592,1809,2978,4283,1502,1275,1511,1624,2001,3076,3643,1542,1236,1535,1550,1931,3184,3624,1857,1567,1549,1680,2002,2873,3081,1528,1234,1226,1088,1143,1332,1187,746,758,724,758,808,921,840,664,659,638,677,638,594,509,431,531,533,573,578,720,660,445,658,582,687,677,901,809,523,771,711,670,751,930,992,740,774,822,800,1016,1235,1331,917,868,1104,920,994,1171,1444,921,992,934,1037,1217,1647,1940,1010,936,1084,991,1491,1889,2314,1649,1286,1167,1075,1389,2134,1541,1010,870,886,1017,1188,1663,2243,1426,1169,1281,1410,1690,2359,,,,,1493,1741,2814,2786,1505,1250,1451,1338,1799,2605,2692,1789,1338,1406,1628,2118,2803,2702,1930,1326,1392,1487,1535,2698,2774,1633,1337,1457,1454,1833,2747,2881,1655,1439,1439,1566,1808,2731,2779,1705,1420,1561,1560,1924,2895,3321,1806,1348,1515,1466,1789,2618,3110,1806,1377,1538,1544,1581,2716,3379,1735,1453,1560,1405,1698,2577,3189,1655,1293,1067,1478,1687,2738,3286
2:00:00,5072,1399,1270,2432,2855,1089,1078,1071,1170,1436,2766,2390,1059,1021,1134,1235,1596,2831,3011,1608,1120,1052,1151,1236,2728,3170,957,1083,1061,1192,1470,2612,2842,1055,1009,1068,1137,1521,2723,2858,1087,999,1088,1249,1744,3009,2931,1202,1117,1166,1222,1547,2693,3350,981,1066,1147,1240,1701,2849,3303,1172,1138,1234,1197,1689,2970,301,1277,1129,1250,1283,1679,2801,2993,1183,937,980,919,952,1007,1022,601,595,555,587,675,704,610,518,594,542,539,514,393,360,346,430,438,492,479,501,486,316,491,539,494,564,643,614,370,625,611,547,606,773,749,528,603,637,572,751,910,930,692,713,865,714,884,981,1127,689,728,749,828,899,1208,1283,805,828,804,946,1097,1580,1641,1192,963,916,912,1089,1909,1134,848,731,796,842,913,1459,1770,1071,958,1028,1175,1455,2172,,,,,1246,1578,2348,2510,1043,1044,1203,1164,1483,2282,2264,1207,1115,1130,1387,1929,2432,2564,1433,1102,1165,1279,1357,2538,2669,1291,1048,1182,1207,1523,2469,2368,1213,1157,1108,1333,1646,2367,2570,1325,1211,1224,1211,1536,2592,2795,1358,1118,1188,1313,1653,2422,2772,1337,1088,1158,1269,864,2547,2684,1346,1226,1287,1229,1439,2232,2728,1227,1009,1063,1266,1570,2486,3008
3:00:00,4550,1517,1512,2349,2682,1238,1269,1163,1323,1513,2588,2410,1181,1107,1184,1393,1876,3004,3001,1767,1189,1195,1334,1454,2667,2890,1155,1149,1267,1324,1618,2552,2806,1164,1108,1195,1205,1529,2808,2989,1248,1101,1312,1397,1814,2440,3058,1296,1298,1215,1388,1629,2798,3204,1285,1097,1361,1319,1769,2849,3350,1366,1226,1371,1439,1930,3077,3791,1421,1251,1451,1480,1780,2738,2824,1185,1001,965,953,916,920,755,681,686,654,655,664,601,527,584,599,556,549,539,419,321,444,479,472,491,531,485,369,449,515,525,551,575,611,489,475,564,594,565,615,670,567,574,613,636,664,737,806,686,704,659,847,713,784,830,804,676,741,680,742,901,1124,995,720,752,751,932,1083,1342,1402,964,881,905,867,1031,1706,929,707,791,765,883,1036,1332,1622,1002,941,1023,1047,1407,1766,,,,,1135,1462,2397,2530,1156,943,1080,1069,1451,2338,2441,1076,1075,1186,1309,1818,2351,2430,1452,1087,1181,1209,1400,2271,2473,1117,1084,1131,1216,1554,2384,2556,1209,1081,1152,1253,1630,2373,2559,1245,1083,1253,1287,1599,2597,2816,1174,1066,1098,1114,1483,2538,2513,1206,1108,1220,1243,939,2604,2806,1268,1190,1150,1174,1525,1575,2821,1102,1065,1087,1271,1606,2551,3026
4:00:00,3278,2304,2144,2084,2094,2455,1903,1963,2068,2217,2201,1974,2453,1751,1725,2168,2497,2365,2244,2354,2273,1909,2071,2046,2146,2210,2529,1911,1968,2041,2220,2109,1918,2603,1934,1862,1954,2252,2268,1917,2697,1895,2011,2220,2508,2200,2081,2200,2281,1952,2186,2411,2285,2199,2772,1873,2043,2285,2627,2506,2560,2805,2122,2003,2087,2421,2548,3779,2637,2055,2027,2199,2376,2302,2049,1923,1515,1437,1378,1413,1144,759,1200,709,1020,1041,1059,819,590,1041,995,952,904,883,602,404,839,839,814,792,828,610,416,792,865,835,869,839,658,474,812,939,889,843,879,785,566,968,913,907,958,1068,833,641,997,1023,1075,1056,1127,919,725,1016,1027,1068,1077,1199,1042,844,1118,1079,1075,1261,1428,1388,1081,946,1209,1248,1212,1311,1579,855,1157,1059,1089,1177,1235,1345,1239,1336,1234,1309,1362,1611,1727,,,,,1508,1742,1957,1683,1591,1401,1399,1435,1670,1845,1712,1594,1328,1446,1747,2038,2064,1952,1782,1460,1496,1572,1725,1945,1775,1657,1425,1439,1548,1747,2027,1811,1675,1379,1478,1613,1656,2031,1872,1678,1471,1548,1609,1798,2108,2036,1717,1422,1652,1726,1764,2027,1984,1746,1479,1547,1680,1619,2114,2034,1733,1486,1523,1565,1762,1731,1952,1754,1372,1359,1578,1725,2032,1995
5:00:00,2693,4269,3834,2782,2632,5759,4543,4483,4524,4316,2701,2165,5498,4479,3885,4744,4772,2872,2248,4513,4739,4629,4536,4273,2746,2215,5815,4612,4798,4596,4537,2758,2263,5736,4918,4468,4003,4611,2753,2183,6017,4621,4753,4723,5018,3023,2236,4896,5420,4813,3839,4711,2877,2264,5688,4928,4795,4986,4867,3160,2579,5941,4758,4478,4801,4894,3204,2939,5363,4432,4455,4452,4365,2780,2155,3763,3143,2974,2880,2676,1464,1049,2533,2281,2302,2238,2112,1289,877,2261,2019,2060,2077,1836,1060,715,1904,1839,1847,1758,1647,1009,621,1803,1887,1917,1905,1880,1046,736,1817,1965,1960,1771,1858,1174,834,2076,2018,2063,2118,2103,1284,938,2267,2224,2275,2259,2204,1461,1030,2396,2270,2249,2357,2336,1614,1160,2560,2404,2385,2494,2757,1980,1287,1448,2625,2464,2464,2606,1969,1287,2688,2431,2655,2676,2051,1949,1522,2926,2705,2676,2925,3041,2419,,,,,3078,3217,2703,1938,3323,2955,3011,3065,3201,2608,1885,3179,3027,3095,3331,2893,2108,1950,3251,2929,2872,2963,1590,2407,1893,3130,2753,2877,2963,3064,2571,1930,3163,2861,2839,3001,3034,2556,1925,3292,2814,2896,2949,3079,2602,1963,3292,2945,2933,3138,3109,2437,2014,3415,3063,3006,3176,3057,2473,2031,3487,3059,2932,3148,2949,2228,1875,2991,2969,3030,3229,3185,2414,2020
6:00:00,2920,6509,5884,3846,3424,8120,7557,7197,7381,7098,4151,3140,7388,7332,6733,7124,7612,4122,3003,6939,7161,7438,7442,6504,3894,2961,7957,7698,7641,7520,7055,4168,2932,8433,7768,7428,5978,7196,4086,3037,8393,7568,7590,6404,7666,5006,3364,7656,7225,7450,6391,7103,4328,3434,7847,7460,7688,7591,7349,4745,3568,8392,7463,6485,7423,7536,4542,3561,7141,7071,7509,7156,6692,4006,2659,5989,5383,5014,4805,4495,2403,1555,4274,3792,4063,4136,3976,2246,1223,3976,3713,3832,3749,3500,1731,1074,3600,3672,3596,3575,3333,1664,1001,3546,3828,3694,3859,3651,1982,1155,3532,4038,3929,3300,3765,2148,1305,4260,4183,4176,4316,4291,2353,1512,4376,4348,4488,4622,4327,2568,1562,4844,4652,4669,4783,4705,2818,1858,4794,4857,4764,5136,5178,3238,1945,2428,5116,4730,4306,4976,3456,2040,5302,5248,5160,5351,4732,3501,2285,5493,5317,4945,5587,5368,3601,,,,,4653,5544,3838,2599,5894,5353,5539,5393,5646,4018,2649,5870,5515,5595,5967,4568,2777,2694,5381,5429,5436,5583,5438,4006,2658,5936,5517,5633,5669,5418,4056,2734,5925,5333,5469,5623,5575,4012,2671,5961,5298,5321,5621,5549,4005,2552,5904,5606,5529,5653,5637,3861,2806,5945,5673,5437,5736,5622,3637,2610,5992,5693,5711,5475,5522,3231,2558,4972,3624,5535,5660,5574,3432,2432
7:00:00,3638,7132,7003,5208,4303,7995,8291,7724,7896,7949,5452,4193,6750,7362,6906,7346,7992,5962,3948,7325,7938,7485,8007,7289,5730,3933,8002,7995,7748,8069,7923,5852,4063,8293,7860,6998,6916,6980,5866,3989,6965,7767,7208,7059,7959,6520,4274,8035,6740,7057,7327,8344,6165,4585,7760,7238,8027,8300,8428,6968,5080,8584,7253,7200,7575,8461,7038,4183,7885,7237,6803,7186,7620,5184,3294,6751,5989,5940,5711,5516,3356,1989,4645,4590,4845,4984,4892,3010,1772,4818,4434,4864,4829,4492,2385,1545,4394,4377,4504,4451,4134,2659,1414,4453,4666,4942,4882,4730,2710,1581,4401,4991,5096,4198,4835,3062,1939,5042,5187,5154,5253,5417,3493,2130,5356,5467,5559,5655,5414,3590,2177,5572,5686,5627,5845,5843,3938,2480,5662,5915,5974,6170,6432,4666,2683,3118,6182,5485,5862,6119,4369,2902,6658,6457,6578,6609,6425,4773,2950,6568,6240,6271,6841,6622,5017,,,,,6996,6974,5406,3443,7010,6743,6928,6618,7172,5096,3587,6865,6875,6920,7203,5582,3587,3361,6745,6607,6961,6862,6897,5234,3466,7048,6991,7096,6960,6983,5608,3619,7279,6808,7105,7036,7029,5237,3505,7108,6767,7020,7176,7136,5197,3354,6998,6736,6894,7200,7103,4995,3424,7333,7263,7190,7350,7159,4930,3405,7274,6975,7309,6994,6675,4803,3297,6910,6149,7076,7431,7075,4451,3122
8:00:00,4118,6856,6093,5726,4994,6305,6788,6229,6245,7106,6439,4981,5952,5665,5230,5835,6741,6468,4750,6628,6542,6448,6783,7470,6766,4711,6568,6305,6037,6054,6660,6245,4875,6640,6390,6181,6464,6862,6494,4616,6240,6957,6327,6358,7337,7580,4955,7100,6397,6999,6607,7630,7027,5379,6061,6089,6903,6830,7382,7667,6051,7269,6249,6182,6570,7420,7777,4733,6690,6453,6449,5272,7609,5805,3772,6352,5807,5561,5527,5310,3971,2193,4399,4204,4538,4655,4582,2996,1854,4316,4008,4390,4459,4294,2439,1407,3958,3919,4075,4049,3967,2593,1273,4020,4310,4345,4350,4300,2860,1509,4279,4471,4632,4004,4694,3179,1958,4758,4753,4755,5111,5184,3843,2392,4951,5168,5229,5329,5324,4068,2610,5298,5401,5375,5640,5907,4611,2942,5490,5751,6065,6048,6529,5604,3030,3442,5976,5698,5698,6282,5042,3267,6122,6280,6333,6618,6664,5681,3607,6532,6264,6177,6584,6897,5717,,,,,7212,7242,6334,4033,6968,6612,7099,7209,7357,5951,4259,6991,7009,7336,7060,6389,4319,3766,7319,6680,6996,7151,6932,6053,3930,6828,6274,6912,7001,7195,6562,4221,7133,6755,6895,7273,7152,6076,4156,7052,6753,7102,6937,7145,6075,4091,7086,6659,7083,7207,7298,5758,4158,7152,6829,7358,7414,7429,5775,4132,6943,6873,7012,7133,6945,5273,3718,6823,6492,6977,7297,7371,4979,3706
