,0
2020-01-01 00:00:00,3179.75
2020-01-01 01:00:00,3444.25
2020-01-01 02:00:00,2832.0
2020-01-01 03:00:00,2307.75
2020-01-01 04:00:00,1605.25
2020-01-01 05:00:00,1368.0
2020-01-01 06:00:00,1614.25
2020-01-01 07:00:00,1725.25
2020-01-01 08:00:00,2107.0
2020-01-01 09:00:00,2513.5
2020-01-01 10:00:00,3202.75
2020-01-01 11:00:00,3955.5
2020-01-01 12:00:00,4381.0
2020-01-01 13:00:00,4665.25
2020-01-01 14:00:00,5157.25
2020-01-01 15:00:00,5138.25
2020-01-01 16:00:00,4842.5
2020-01-01 17:00:00,4879.75
2020-01-01 18:00:00,4813.5
2020-01-01 19:00:00,4212.75
2020-01-01 20:00:00,3640.75
2020-01-01 21:00:00,3153.5
2020-01-01 22:00:00,2548.25
2020-01-01 23:00:00,2102.5
2020-01-02 00:00:00,1454.5
2020-01-02 01:00:00,974.25
2020-01-02 02:00:00,779.25
2020-01-02 03:00:00,805.0
2020-01-02 04:00:00,1272.5
2020-01-02 05:00:00,2727.25
2020-01-02 06:00:00,4593.0
2020-01-02 07:00:00,5052.75
2020-01-02 08:00:00,4930.5
2020-01-02 09:00:00,4728.75
2020-01-02 10:00:00,4794.5
2020-01-02 11:00:00,5030.5
2020-01-02 12:00:00,4905.75
2020-01-02 13:00:00,4750.5
2020-01-02 14:00:00,4911.5
2020-01-02 15:00:00,5097.5
2020-01-02 16:00:00,4907.25
2020-01-02 17:00:00,5181.0
2020-01-02 18:00:00,4914.5
2020-01-02 19:00:00,4263.5
2020-01-02 20:00:00,3587.5
2020-01-02 21:00:00,3165.5
2020-01-02 22:00:00,2824.5
2020-01-02 23:00:00,2126.75
2020-01-03 00:00:00,1393.75
2020-01-03 01:00:00,988.75
2020-01-03 02:00:00,752.5
2020-01-03 03:00:00,853.0
2020-01-03 04:00:00,1276.5
2020-01-03 05:00:00,2581.5
2020-01-03 06:00:00,4336.0
2020-01-03 07:00:00,5032.75
2020-01-03 08:00:00,4446.0
2020-01-03 09:00:00,4443.0
2020-01-03 10:00:00,4760.75
2020-01-03 11:00:00,4866.75
2020-01-03 12:00:00,5187.0
2020-01-03 13:00:00,5343.0
2020-01-03 14:00:00,5558.75
2020-01-03 15:00:00,5703.5
2020-01-03 16:00:00,5473.25
2020-01-03 17:00:00,5299.25
2020-01-03 18:00:00,5165.75
2020-01-03 19:00:00,4775.75
2020-01-03 20:00:00,4342.0
2020-01-03 21:00:00,3890.25
2020-01-03 22:00:00,3623.25
2020-01-03 23:00:00,2944.25
2020-01-04 00:00:00,1909.5
2020-01-04 01:00:00,1404.25
2020-01-04 02:00:00,1270.5
2020-01-04 03:00:00,1112.25
2020-01-04 04:00:00,1083.25
2020-01-04 05:00:00,1502.25
2020-01-04 06:00:00,2232.5
2020-01-04 07:00:00,2788.5
2020-01-04 08:00:00,3449.25
2020-01-04 09:00:00,4257.5
2020-01-04 10:00:00,5164.25
2020-01-04 11:00:00,5489.0
2020-01-04 12:00:00,5794.0
2020-01-04 13:00:00,5867.0
2020-01-04 14:00:00,5999.5
2020-01-04 15:00:00,5900.0
2020-01-04 16:00:00,5904.25
2020-01-04 17:00:00,5840.5
2020-01-04 18:00:00,5460.0
2020-01-04 19:00:00,4810.0
2020-01-04 20:00:00,4600.5
2020-01-04 21:00:00,3912.0
2020-01-04 22:00:00,3769.5
2020-01-04 23:00:00,3259.5
2020-01-05 00:00:00,2482.0
2020-01-05 01:00:00,1743.0
2020-01-05 02:00:00,1400.5
2020-01-05 03:00:00,1227.0
2020-01-05 04:00:00,965.75
2020-01-05 05:00:00,1279.25
2020-01-05 06:00:00,1814.5
2020-01-05 07:00:00,2165.75
2020-01-05 08:00:00,2792.75
2020-01-05 09:00:00,3747.25
2020-01-05 10:00:00,4769.5
2020-01-05 11:00:00,5147.25
2020-01-05 12:00:00,5490.75
2020-01-05 13:00:00,5892.25
2020-01-05 14:00:00,5581.0
2020-01-05 15:00:00,5790.0
2020-01-05 16:00:00,5707.5
2020-01-05 17:00:00,5546.0
2020-01-05 18:00:00,5522.75
2020-01-05 19:00:00,4985.25
2020-01-05 20:00:00,4282.0
2020-01-05 21:00:00,3288.75
2020-01-05 22:00:00,2789.25
2020-01-05 23:00:00,2014.25
