,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun
,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020
0:00:00,725,692,747,953,1064,748,585,613,637,820,1010,959,664,623,623,565,835,1053,850,703,680,578,555,746,1030,965,587,598,501,549,822,988,895,672,617,510,659,879,1032,808,728,615,553,694,946,1081,1005,745,744,4,704,856,1083,959,760,672,678,692,867,1166,1089,779,594,601,635,782,998,,829,681,614,653,869,1146,1042,723,634,544,542,558,599,604,405,401,377,415,410,449,420,335,322,291,326,315,295,252,244,255,285,252,304,327,332,222,326,302,364,322,390,393,244,359,336,293,312,431,480,337,369,370,333,418,591,573,433,396,447,418,443,539,569,561,426,421,426,465,634,757,507,430,513,472,550,740,795,636,662,500,461,562,794,645,531,400,435,466,510,626,935,567,448,490,518,609,848,753,553,537,530,598,682,1012,1068,627,539,544,526,632,925,1007,683,574,616,690,898,1059,1213,712,650,589,632,740,1054,1035,871,587,583,676,732,1066,983,732,596,546,626,747,1007,1182,724,622,648,629,728,1134,1200,741,622,612,626,744,1011,1102,775,615,593,610,851,1012,999,722,588,581,597,657,999,1035,674,585,548,602,679,955,1065
1:00:00,1124,509,563,837,769,468,349,335,383,423,611,549,478,394,336,402,508,717,640,491,384,337,333,450,770,629,482,418,316,358,465,649,620,485,439,361,365,724,721,676,553,426,334,458,580,645,735,509,442,416,507,478,686,848,581,414,394,443,572,713,764,522,352,356,425,476,690,,555,425,381,419,570,738,746,442,381,383,355,405,445,404,308,241,243,243,283,287,299,228,238,212,241,209,185,176,177,172,174,200,186,203,208,156,212,194,235,226,289,244,183,229,256,210,255,306,310,206,206,232,266,275,395,368,283,276,329,313,307,363,435,322,290,322,336,311,475,517,282,286,312,324,421,477,569,453,420,356,335,368,506,466,319,268,247,336,331,461,576,377,363,312,381,394,607,692,393,318,335,431,468,754,727,435,349,327,308,412,726,695,436,368,355,426,523,737,831,480,370,369,389,443,708,750,410,402,408,433,444,706,777,498,368,402,431,509,772,779,410,397,408,407,480,758,759,421,386,361,385,456,681,842,493,360,384,383,470,629,862,472,370,360,360,381,689,665,403,322,320,376,438,660,707
2:00:00,867,362,388,573,506,282,238,289,278,321,427,440,280,283,286,293,404,551,512,330,239,273,293,333,504,483,318,284,316,288,327,471,470,257,261,292,237,445,460,412,270,252,255,299,423,488,443,339,285,277,314,361,520,591,314,388,279,302,461,527,549,286,318,259,282,339,503,,394,361,252,319,367,509,496,400,292,286,271,296,330,303,172,183,175,170,180,221,221,135,176,186,194,169,143,118,131,143,148,171,182,156,145,140,203,171,166,161,201,181,150,199,168,175,180,238,178,192,191,202,202,236,291,269,221,176,292,224,260,278,275,203,233,106,243,254,372,335,248,251,249,259,313,337,414,322,280,293,278,336,425,364,231,236,233,218,293,414,389,303,274,245,279,292,432,517,270,292,305,287,389,548,502,327,309,302,287,378,555,469,307,274,311,354,436,562,473,347,277,325,282,315,492,519,300,295,302,306,324,517,564,323,282,307,314,363,459,464,321,281,304,379,386,524,470,342,284,317,301,337,462,550,354,264,325,317,325,445,488,300,282,294,330,339,540,513,287,279,254,304,294,483,548
3:00:00,685,326,365,280,380,275,275,277,290,293,377,394,289,244,252,285,316,419,352,284,255,271,260,313,352,359,276,255,296,267,286,330,370,309,283,285,249,375,378,345,296,259,226,262,323,354,418,268,288,262,291,318,391,449,263,232,268,296,294,412,379,326,265,315,298,343,439,,314,299,281,292,370,406,419,318,307,282,259,284,304,257,229,238,211,199,227,192,143,175,166,164,192,174,149,106,130,151,143,152,156,147,118,117,185,153,146,192,187,140,142,193,180,186,205,187,175,200,195,200,205,216,210,197,212,214,213,216,189,265,211,183,203,199,224,252,320,283,245,213,224,230,260,311,331,258,245,235,250,282,343,291,243,189,205,227,233,306,307,293,245,266,257,278,393,390,289,241,283,268,322,407,355,277,204,268,259,323,465,421,260,262,309,290,406,408,487,282,293,256,297,335,399,373,246,278,246,289,341,399,275,308,303,276,284,326,436,458,318,284,277,285,334,411,456,274,226,298,273,350,412,433,341,277,262,308,331,408,434,241,257,263,265,273,366,414,306,289,261,305,287,443,405
4:00:00,467,430,446,397,323,451,455,448,411,442,381,250,427,417,405,398,440,404,363,387,437,452,441,440,349,305,502,357,444,434,449,364,273,447,430,450,430,500,372,302,456,421,419,428,469,333,293,443,457,429,358,428,384,323,496,426,425,442,441,443,310,468,438,442,393,464,409,,463,389,460,427,491,437,344,422,376,360,374,384,248,185,302,272,307,279,267,195,146,265,262,294,332,280,155,101,291,289,266,269,253,146,108,252,280,267,272,279,174,133,257,278,274,266,294,208,182,314,311,267,282,314,223,193,337,314,291,273,298,237,178,318,290,326,305,306,227,199,305,292,327,331,337,226,239,224,323,322,331,361,282,214,333,285,342,303,287,238,257,351,333,337,335,388,333,271,332,363,343,373,397,362,272,353,338,397,290,400,375,312,328,329,346,396,372,345,367,371,336,366,362,371,344,339,348,333,343,349,372,357,315,381,338,351,359,375,346,281,359,361,348,353,368,352,328,399,347,335,347,372,365,324,348,345,379,377,341,320,301,368,367,347,345,351,312,327,325,350,346,376,376,323,351
5:00:00,504,957,986,572,482,1185,983,1032,949,1045,522,397,1063,1019,1058,1064,1100,515,398,932,1121,1022,1038,991,504,426,1172,1029,1026,1022,1012,529,424,1088,1064,1063,1095,942,569,393,1156,970,1020,1285,1017,584,451,972,1075,1058,820,985,534,440,1202,1060,1034,1047,979,556,525,1139,985,978,983,1074,633,,1119,1021,964,1049,965,540,390,978,823,783,761,746,397,249,708,675,625,647,625,303,180,618,560,548,653,554,261,175,591,535,524,561,501,231,163,610,588,535,511,515,230,190,554,584,579,556,542,267,208,600,593,545,540,597,314,218,639,606,595,567,573,314,252,639,627,607,633,585,318,247,641,588,598,614,642,241,254,283,662,648,622,635,371,217,638,661,625,618,583,316,257,671,696,725,617,728,406,286,700,686,673,699,695,407,269,715,707,725,668,701,408,292,737,689,680,761,515,327,355,706,727,717,702,699,443,329,716,691,753,759,765,466,403,745,734,724,721,707,427,351,783,718,727,719,778,473,369,753,760,746,775,711,431,339,802,753,754,740,722,427,328,781,728,743,760,717,409,333,789,717,743,751,797,445,334
6:00:00,728,2271,2169,1089,905,2656,2452,2631,2530,2438,946,712,2455,2541,2661,2639,2256,1094,738,1960,2566,2401,2467,2448,1118,738,2592,2430,2601,2695,2411,1035,823,2561,2730,2686,2215,2371,1050,749,2622,2489,2603,2589,2387,1099,754,2318,2517,2539,2173,2359,1058,737,2490,2423,2621,2459,2247,1069,829,2575,2537,2637,2303,2400,1183,,2499,2576,2507,2507,2421,948,673,2192,1967,1872,1783,1621,716,461,1557,1480,1659,1461,1370,688,438,1550,1400,1359,1392,1361,572,380,1343,1402,1297,1358,1228,525,328,1313,1362,1339,1348,1307,573,401,973,1413,1400,1247,1343,557,362,1476,1473,1444,1369,1386,651,395,1488,1506,1520,1444,1372,617,422,1506,1549,1472,1510,1475,690,440,1500,1517,1608,1556,1551,592,451,578,1606,1628,1661,1640,711,515,1674,1652,1690,1737,1687,790,527,1716,1788,1656,1787,1668,821,548,1689,1667,1757,1757,1656,831,567,1678,1749,1718,1694,1664,803,513,1706,1774,1718,1637,987,554,558,1630,1654,1629,1693,1372,798,569,1711,1638,1603,1600,1566,807,540,1650,1632,1596,1599,1600,723,522,1706,1635,1664,1666,1599,775,577,1716,1733,1780,1675,1702,811,529,1728,1740,1744,1682,1694,779,561,1778,1733,1723,1770,1394,773,591,1645,1533,1766,1725,1538,803,541
7:00:00,697,2259,2225,1002,961,2271,2083,2040,2271,2387,1161,871,2008,2100,2113,1378,2349,1140,817,1788,1787,1997,2250,2094,1115,798,1731,1925,2196,2144,2267,1208,888,2381,2248,2328,2277,2302,1232,862,2219,2141,2196,1699,2300,1152,891,2282,2402,1909,2061,2194,1240,949,2139,1746,2402,2288,2394,1378,1044,2364,2666,2035,2000,2386,1386,,2297,2263,2224,2268,2394,1134,833,2105,1853,1754,1729,1641,798,480,1378,1276,1352,1399,1292,654,389,1321,1261,1247,1258,1210,610,390,1278,1213,1285,1188,1116,578,290,1216,1284,1313,1304,1190,573,375,806,1289,1389,1114,1305,673,415,1396,1437,1340,1358,1372,712,432,1487,1482,1561,1556,1400,744,484,1580,1558,1510,1531,1488,793,529,1675,1626,1698,1592,1507,768,520,617,1747,1674,1549,1670,878,570,1748,1676,1769,1730,1694,889,611,1811,1848,1659,1968,1728,969,578,1865,1894,1962,1834,1730,998,641,2049,1785,1815,1912,1795,1002,629,1918,1972,1896,1775,1093,612,619,1823,1964,1791,1897,1756,1001,670,1818,1888,1753,1887,1749,1032,618,1850,1775,1801,1820,1836,950,663,1829,1833,1832,1882,1834,1008,671,1857,1843,1888,1927,1805,942,694,1860,1890,1975,1911,1843,931,648,1899,1888,1889,1919,1934,902,571,1736,1711,1608,1848,1903,951,588
8:00:00,937,2309,2340,1460,1108,1962,1744,1943,2048,2324,1551,1107,1918,1984,1343,1793,2522,1484,1055,1786,1963,2062,2045,2158,1548,1047,2034,1812,2069,2333,2175,1615,1044,2161,2270,1836,1912,2212,1601,1026,2186,2126,2126,1616,2277,1521,1089,2388,2094,2113,1781,2283,1566,1120,2143,1605,2034,1472,2288,1675,1292,1971,1563,2025,1994,2165,1547,,2164,1732,2139,1860,2055,1272,777,2018,1778,1715,1707,1626,945,563,1396,1420,1399,1437,1377,755,445,1283,1357,1380,1394,1289,590,378,1297,1312,1230,1274,1223,660,307,1329,1356,1325,1333,1340,710,404,987,1292,1368,1190,1352,710,439,1416,1486,1495,1466,1392,846,510,1390,1505,1473,1594,1535,888,453,1533,1565,1581,1654,1649,981,561,1597,1656,1794,1666,1602,1054,604,675,1821,1799,1499,1702,1124,291,1721,1783,1812,1732,1734,1087,675,1852,1746,1803,1853,1808,1210,734,1948,1935,1826,1957,1931,1095,740,1993,1958,1985,2020,1973,1203,811,2024,2006,1944,2062,1302,734,760,1842,2052,1949,2035,2017,1219,808,1949,2012,1933,2071,1878,1176,775,1932,2053,1987,2097,2032,1192,785,2037,2073,2066,2170,1957,1310,868,2113,2039,2145,2046,2000,1310,844,2109,2160,2203,2250,2235,1260,721,2062,2085,2152,2117,1881,1233,723,1961,1898,1985,2119,2079,1289,782
