,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30
0:00:00,4189.0,2577.0,2923.0,3612.0,3777.0,2525.0,2174.0,2057.0,2086.0,2646.0,3439.0,3299.0,2354.0,2180.0,2041.0,2079.0,2904.0,3737.0,3079.0,2481.0,2381.0,1965.0,1974.0,2573.0,3468.0,3309.0,2214.0,2071.0,1833.0,1930.0,2740.0,3426.0,3021.0,2570.0,2149.0,1745.0,2106.0,3358.0,3605.0,3002.0,2472.0,2075.0,1922.0,2182.0,3183.0,3701.0,3548.0,2619.0,2588.0,2133.0,2453.0,2893.0,3771.0,3441.0,2891.0,2326.0,2285.0,2396.0,2952.0,4119.0,3866.0,2797.0,2219.0,2190.0,2365.0,2715.0,3876.0,0.0,2972.0,2428.0,2163.0,2344.0,2989.0,4027.0,3555.0,2688.0,2359.0,1955.0,1937.0,1998.0,2294.0,2017.0,1530.0,1425.0,1275.0,1350.0,1374.0,1611.0,1430.0,1172.0,1166.0,1082.0,1147.0,1134.0,1003.0,891.0,828.0,894.0,888.0,944.0,1061.0,1115.0,1087.0,780.0,1111.0,1018.0,1187.0,1168.0,1435.0,1352.0,912.0,1277.0,1147.0,1113.0,1107.0,1565.0,1723.0,1196.0,1257.0,1291.0,1253.0,1459.0,1919.0,2158.0,1480.0,1348.0,1622.0,1474.0,1638.0,1816.0,2070.0,1844.0,1426.0,1517.0,1466.0,1682.0,2208.0,2480.0,1678.0,1569.0,1643.0,1606.0,2008.0,2539.0,2830.0,2315.0,2188.0,1690.0,1670.0,1888.0,2556.0,2266.0,1708.0,1372.0,1452.0,1604.0,1694.0,2217.0,3172.0,1939.0,1804.0,1693.0,1836.0,2032.0,3091.0,3019.0,1879.0,1755.0,1892.0,2107.0,2330.0,3699.0,3828.0,2273.0,1939.0,1881.0,1872.0,2353.0,3268.0,3660.0,2376.0,1969.0,2064.0,2450.0,3022.0,3761.0,4446.0,2641.0,2060.0,2033.0,2209.0,2479.0,3544.0,3695.0,2460.0,1991.0,2071.0,2186.0,2422.0,3836.0,3759.0,2557.0,2146.0,2065.0,2279.0,2496.0,3677.0,3882.0,2510.0,2156.0,2074.0,2338.0,2673.0,3943.0,4556.0,2463.0,2162.0,2169.0,2196.0,2497.0,3566.0,3991.0,2446.0,2044.0,1997.0,2078.0,2495.0,3538.0,3559.0,2396.0,2028.0,1973.0,1958.0,2266.0,3407.0,3646.0,2257.0,1854.0,1915.0,2029.0,2207.0,3438.0,3723.0
1:00:00,4025.0,1972.0,1970.0,2850.0,2558.0,1623.0,1413.0,1280.0,1428.0,1559.0,2266.0,2010.0,1529.0,1402.0,1292.0,1535.0,2027.0,2595.0,2277.0,1800.0,1398.0,1238.0,1278.0,1680.0,2737.0,2337.0,1664.0,1446.0,1195.0,1293.0,1679.0,2288.0,2188.0,1608.0,1435.0,1282.0,1362.0,2432.0,2592.0,2233.0,1883.0,1357.0,1326.0,1614.0,2014.0,2355.0,2376.0,1694.0,1572.0,1476.0,1641.0,1667.0,2503.0,3058.0,1831.0,1307.0,1481.0,1546.0,1951.0,2483.0,2803.0,1609.0,1363.0,1350.0,1477.0,1769.0,2530.0,0.0,1981.0,1589.0,1466.0,1563.0,1982.0,2684.0,2578.0,1740.0,1440.0,1342.0,1251.0,1441.0,1584.0,1443.0,995.0,968.0,939.0,930.0,969.0,1126.0,997.0,825.0,872.0,825.0,907.0,746.0,697.0,514.0,578.0,626.0,704.0,728.0,743.0,813.0,685.0,574.0,772.0,748.0,830.0,836.0,1019.0,927.0,665.0,885.0,875.0,797.0,849.0,1134.0,1127.0,833.0,850.0,868.0,921.0,996.0,1473.0,1398.0,995.0,984.0,1222.0,1022.0,1118.0,1308.0,1441.0,1188.0,1117.0,880.0,1149.0,1185.0,1688.0,1741.0,1045.0,1056.0,1149.0,1176.0,1436.0,1895.0,2032.0,1613.0,1467.0,1224.0,1260.0,1375.0,1903.0,1689.0,1092.0,1022.0,1017.0,1111.0,1264.0,1687.0,2012.0,1335.0,1369.0,1198.0,1372.0,1498.0,2155.0,2394.0,1413.0,1192.0,1313.0,1512.0,1711.0,2607.0,2451.0,1466.0,1318.0,1319.0,1255.0,1587.0,2514.0,2440.0,1583.0,1375.0,1353.0,1661.0,2005.0,2659.0,3006.0,1687.0,1359.0,1349.0,1466.0,1592.0,2304.0,2703.0,1480.0,1393.0,1499.0,1497.0,1632.0,2947.0,2659.0,1607.0,1407.0,1436.0,1471.0,1686.0,2566.0,2510.0,1527.0,1430.0,1542.0,1609.0,1718.0,2670.0,2560.0,1510.0,1424.0,1364.0,1456.0,1648.0,2256.0,2586.0,1771.0,1332.0,1447.0,1367.0,1586.0,2182.0,2716.0,1636.0,1370.0,1345.0,1238.0,1377.0,2301.0,2377.0,1466.0,1192.0,1198.0,1313.0,1541.0,2297.0,2496.0
2:00:00,3061.0,1300.0,1524.0,2060.0,1784.0,1307.0,1011.0,1081.0,1065.0,1170.0,1566.0,1488.0,1096.0,1071.0,1051.0,1148.0,1367.0,1881.0,1636.0,1232.0,1014.0,1017.0,1158.0,1217.0,1773.0,1658.0,1087.0,1012.0,1058.0,1077.0,1286.0,1714.0,1562.0,1100.0,1021.0,1062.0,1017.0,1697.0,1755.0,1556.0,1149.0,971.0,992.0,1142.0,1435.0,1595.0,1649.0,1277.0,1070.0,1061.0,1134.0,1341.0,1815.0,2041.0,1160.0,1120.0,1089.0,1177.0,1529.0,1733.0,1879.0,1192.0,1101.0,1020.0,1189.0,1317.0,1836.0,0.0,1410.0,1180.0,1081.0,1224.0,1419.0,1889.0,1839.0,1381.0,1185.0,1171.0,1038.0,1197.0,1195.0,1090.0,901.0,785.0,732.0,763.0,796.0,941.0,730.0,649.0,706.0,696.0,791.0,733.0,613.0,442.0,523.0,638.0,590.0,671.0,717.0,641.0,506.0,517.0,721.0,648.0,699.0,699.0,808.0,647.0,619.0,730.0,737.0,738.0,773.0,865.0,780.0,753.0,750.0,767.0,801.0,922.0,991.0,962.0,855.0,792.0,985.0,887.0,975.0,1029.0,1037.0,860.0,890.0,1004.0,965.0,968.0,1290.0,1241.0,1009.0,962.0,980.0,1025.0,1104.0,1335.0,1454.0,1199.0,1084.0,985.0,1049.0,1218.0,1470.0,1236.0,967.0,921.0,907.0,910.0,1038.0,1406.0,1519.0,1122.0,987.0,1015.0,1135.0,1228.0,1726.0,1737.0,1075.0,1053.0,1151.0,1151.0,1385.0,1894.0,1839.0,1233.0,1086.0,1160.0,1160.0,1406.0,1943.0,1719.0,1163.0,1126.0,1206.0,1312.0,1601.0,1973.0,1890.0,1307.0,1094.0,1180.0,1157.0,1286.0,1855.0,1924.0,1210.0,1089.0,1209.0,1213.0,1354.0,1879.0,879.0,1242.0,1099.0,1215.0,1189.0,1438.0,1731.0,1670.0,1256.0,1092.0,1191.0,1392.0,1395.0,1978.0,1836.0,1264.0,1113.0,1190.0,1189.0,1355.0,1792.0,1950.0,1267.0,1130.0,1270.0,1224.0,1295.0,1715.0,1811.0,1204.0,1058.0,1129.0,1162.0,1248.0,1791.0,1912.0,1142.0,1015.0,1045.0,1143.0,1273.0,1766.0,1962.0
3:00:00,2359.0,1427.0,1635.0,1600.0,1511.0,1349.0,1313.0,1232.0,1282.0,1424.0,1434.0,1271.0,1251.0,1215.0,1251.0,1349.0,1394.0,1543.0,1167.0,1310.0,1270.0,1254.0,1285.0,1338.0,1429.0,1492.0,1598.0,1200.0,1288.0,1296.0,1374.0,1411.0,1416.0,1374.0,1258.0,1267.0,1256.0,1534.0,1422.0,1376.0,1367.0,1206.0,1211.0,1334.0,1460.0,1351.0,1440.0,1408.0,1384.0,1287.0,1327.0,1392.0,1592.0,1570.0,1274.0,1220.0,1264.0,1399.0,1452.0,1671.0,1645.0,1455.0,1305.0,1351.0,1284.0,1521.0,1608.0,0.0,1489.0,1360.0,1286.0,1354.0,1463.0,1641.0,1618.0,1430.0,1313.0,1213.0,1130.0,1284.0,1129.0,902.0,935.0,974.0,983.0,891.0,975.0,790.0,574.0,800.0,851.0,870.0,1036.0,867.0,579.0,402.0,686.0,720.0,710.0,740.0,788.0,624.0,486.0,711.0,769.0,771.0,792.0,809.0,704.0,606.0,753.0,945.0,838.0,853.0,935.0,768.0,693.0,915.0,874.0,888.0,891.0,1010.0,907.0,774.0,959.0,965.0,1029.0,968.0,937.0,960.0,768.0,909.0,1010.0,961.0,1076.0,1153.0,1129.0,970.0,1045.0,1015.0,1017.0,1086.0,1171.0,1183.0,1157.0,1007.0,1080.0,1012.0,1135.0,1245.0,1317.0,1034.0,1028.0,913.0,1005.0,1023.0,1131.0,1257.0,1222.0,1134.0,1052.0,1083.0,1198.0,1278.0,1444.0,1362.0,1184.0,1079.0,1178.0,1228.0,1361.0,1567.0,1437.0,1260.0,1087.0,1202.0,1185.0,1409.0,1735.0,1516.0,1186.0,1213.0,1296.0,1335.0,1548.0,1545.0,1587.0,1395.0,1200.0,1242.0,1270.0,1415.0,1553.0,1576.0,1229.0,1185.0,1196.0,1247.0,1377.0,1635.0,1201.0,1305.0,1244.0,1235.0,1323.0,1435.0,1606.0,1571.0,1284.0,1206.0,1283.0,1253.0,1443.0,1645.0,1652.0,1308.0,1234.0,1310.0,1294.0,1393.0,1585.0,1661.0,1287.0,1247.0,1224.0,1256.0,1331.0,1527.0,1543.0,1202.0,1159.0,1186.0,1265.0,1288.0,1436.0,1461.0,1373.0,1184.0,1177.0,1237.0,1328.0,1584.0,1556.0
4:00:00,1784.0,2624.0,2635.0,1859.0,1454.0,2845.0,2663.0,2653.0,2561.0,2586.0,1674.0,1158.0,2717.0,2566.0,2544.0,2592.0,2617.0,1729.0,1273.0,2423.0,2733.0,2642.0,2610.0,2481.0,1657.0,1314.0,2911.0,2539.0,2716.0,2606.0,2584.0,1626.0,1270.0,2791.0,2642.0,2658.0,2627.0,2684.0,1671.0,1232.0,2859.0,2609.0,2580.0,2342.0,2564.0,1529.0,1403.0,2686.0,2726.0,2615.0,2523.0,2563.0,1726.0,1506.0,3012.0,2560.0,2662.0,2576.0,2657.0,1963.0,1691.0,2875.0,2588.0,2637.0,2515.0,2636.0,1873.0,0.0,2896.0,2580.0,2652.0,2578.0,2668.0,1800.0,1503.0,2531.0,2146.0,2071.0,2028.0,1985.0,1179.0,831.0,1788.0,1684.0,1703.0,1689.0,1541.0,951.0,656.0,1556.0,1525.0,1539.0,1735.0,1460.0,726.0,466.0,1560.0,1568.0,1532.0,1472.0,1357.0,704.0,456.0,1385.0,1451.0,1488.0,1488.0,1422.0,752.0,570.0,1440.0,1542.0,1430.0,1392.0,1425.0,896.0,698.0,1552.0,1576.0,1427.0,1478.0,1528.0,969.0,745.0,1631.0,1628.0,1604.0,1597.0,1613.0,1014.0,730.0,1595.0,1629.0,1610.0,1680.0,1559.0,1075.0,777.0,1648.0,1680.0,1642.0,1698.0,1669.0,1075.0,957.0,1024.0,1722.0,1758.0,1789.0,1723.0,1216.0,830.0,1706.0,1694.0,1718.0,1650.0,1577.0,1112.0,1002.0,1821.0,1749.0,1777.0,1837.0,1925.0,1380.0,1032.0,1920.0,1842.0,1800.0,1967.0,1869.0,1517.0,1058.0,1891.0,1815.0,1841.0,1875.0,1803.0,1446.0,1197.0,1889.0,1875.0,1917.0,2051.0,1665.0,1436.0,1388.0,2066.0,1790.0,1883.0,1848.0,1868.0,1559.0,1319.0,1910.0,1793.0,1860.0,1844.0,1890.0,1554.0,1269.0,1967.0,1909.0,1955.0,1925.0,1944.0,1543.0,1201.0,1980.0,1838.0,1945.0,2026.0,2026.0,1551.0,1333.0,2022.0,1908.0,1952.0,1990.0,1934.0,1546.0,1321.0,1939.0,1944.0,1948.0,1942.0,1875.0,1469.0,1286.0,2060.0,1885.0,1944.0,1974.0,1902.0,1437.0,1298.0,1960.0,1878.0,1846.0,1913.0,1929.0,1484.0,1278.0
5:00:00,2450.0,6233.0,6008.0,3054.0,2640.0,7037.0,6409.0,6534.0,6508.0,6445.0,2914.0,2112.0,6396.0,6682.0,6687.0,6635.0,6676.0,3002.0,2166.0,5708.0,6688.0,6590.0,6589.0,6132.0,3006.0,2184.0,7139.0,6673.0,6631.0,6680.0,6427.0,3033.0,2185.0,6891.0,6981.0,6785.0,6121.0,6397.0,3079.0,2075.0,7027.0,6392.0,6791.0,6932.0,6310.0,3124.0,2182.0,6127.0,6610.0,6579.0,5698.0,6139.0,3150.0,2217.0,7112.0,6639.0,6712.0,6754.0,6236.0,3220.0,2611.0,6898.0,6565.0,6674.0,6300.0,6391.0,3410.0,0.0,6980.0,6577.0,6559.0,6399.0,6179.0,2897.0,1909.0,6017.0,5414.0,5070.0,4763.0,4494.0,2113.0,1371.0,4360.0,4292.0,4094.0,4079.0,3853.0,1827.0,1183.0,4056.0,3851.0,3805.0,3784.0,3587.0,1585.0,1025.0,3882.0,3687.0,3611.0,3631.0,3357.0,1494.0,930.0,3593.0,3781.0,3721.0,3571.0,3513.0,1473.0,1083.0,3187.0,3893.0,3868.0,3648.0,3625.0,1731.0,1115.0,3819.0,3884.0,3855.0,3838.0,3690.0,1800.0,1219.0,4182.0,4022.0,4009.0,3964.0,3773.0,1770.0,1251.0,4025.0,4004.0,4103.0,4100.0,3925.0,1913.0,1351.0,4197.0,3992.0,4189.0,4172.0,3962.0,1766.0,1295.0,1608.0,4340.0,4341.0,4105.0,4088.0,2095.0,1293.0,4357.0,4360.0,4336.0,4200.0,4045.0,2070.0,1466.0,4429.0,4526.0,4456.0,4336.0,4381.0,2283.0,1546.0,4541.0,4596.0,4561.0,4539.0,4366.0,2249.0,1576.0,4603.0,4620.0,4608.0,4491.0,4378.0,2359.0,1515.0,4584.0,4485.0,4591.0,4795.0,2726.0,1696.0,1723.0,4494.0,4504.0,4486.0,4484.0,4176.0,2485.0,1745.0,4579.0,4533.0,4580.0,4341.0,4408.0,2401.0,1774.0,4594.0,4401.0,4554.0,4544.0,4349.0,2385.0,1756.0,4649.0,4655.0,4595.0,4570.0,4453.0,2437.0,1812.0,4747.0,4734.0,4629.0,4624.0,4482.0,2383.0,1705.0,4883.0,4799.0,4749.0,4659.0,4545.0,2265.0,1773.0,4916.0,4725.0,4690.0,4697.0,4448.0,2277.0,1748.0,4919.0,4559.0,4747.0,4806.0,4582.0,2367.0,1674.0
6:00:00,3181.0,9459.0,9210.0,4846.0,4036.0,10164.0,10170.0,9883.0,10171.0,10267.0,4814.0,3570.0,8953.0,10453.0,10800.0,9334.0,10099.0,4981.0,3707.0,8223.0,9767.0,10089.0,10357.0,9728.0,4882.0,3574.0,8774.0,8362.0,10281.0,9454.0,10049.0,4814.0,3826.0,10420.0,10672.0,10675.0,9272.0,9931.0,5016.0,3546.0,10129.0,10142.0,10571.0,8814.0,10064.0,4955.0,3681.0,9673.0,9630.0,9833.0,9031.0,9977.0,5125.0,3618.0,9935.0,8869.0,10709.0,10367.0,9651.0,5198.0,3966.0,10145.0,9921.0,9973.0,9646.0,9954.0,5520.0,0.0,10201.0,10283.0,10572.0,10211.0,10224.0,4654.0,3257.0,9025.0,8357.0,7864.0,7665.0,7147.0,3612.0,2330.0,6500.0,6241.0,6794.0,6475.0,6371.0,3156.0,2034.0,6481.0,6164.0,6291.0,6290.0,6007.0,2699.0,1820.0,5877.0,6217.0,6012.0,5993.0,5444.0,2569.0,1690.0,5717.0,6096.0,6227.0,6106.0,5852.0,2780.0,1895.0,4209.0,6250.0,6277.0,5652.0,6110.0,2965.0,1970.0,6327.0,6389.0,6502.0,6520.0,6376.0,3240.0,2066.0,6653.0,6878.0,6852.0,6618.0,6409.0,3151.0,2141.0,6770.0,6923.0,6808.0,7085.0,6929.0,3418.0,2293.0,6719.0,7128.0,7158.0,7068.0,6865.0,3171.0,2321.0,2639.0,7384.0,7306.0,7412.0,7137.0,3704.0,2555.0,7609.0,7731.0,7821.0,7794.0,7439.0,3871.0,2650.0,7830.0,7823.0,7650.0,7808.0,7544.0,4031.0,2764.0,7573.0,7747.0,7913.0,7935.0,7652.0,4054.0,2849.0,7893.0,7978.0,7953.0,7896.0,7839.0,4169.0,2716.0,7831.0,8074.0,7886.0,7855.0,4762.0,2844.0,2685.0,7553.0,7550.0,7931.0,8063.0,7203.0,4120.0,2898.0,7817.0,7904.0,7709.0,7890.0,7550.0,4109.0,2881.0,7720.0,7813.0,7695.0,7690.0,7641.0,3917.0,2695.0,7815.0,7890.0,7756.0,7829.0,7643.0,4196.0,2881.0,7911.0,7959.0,8091.0,7882.0,7854.0,4026.0,2849.0,7922.0,8034.0,8155.0,8045.0,7840.0,3984.0,2954.0,7918.0,8145.0,8162.0,8119.0,4297.0,4030.0,2793.0,7711.0,6354.0,8115.0,8035.0,7518.0,3981.0,2788.0
7:00:00,3155.0,9137.0,8291.0,5192.0,4131.0,8494.0,7587.0,8314.0,8454.0,9076.0,5350.0,3822.0,7561.0,7684.0,6817.0,6904.0,9210.0,5325.0,3793.0,7203.0,7504.0,8086.0,8666.0,8322.0,5542.0,3632.0,7824.0,7507.0,8402.0,8665.0,8907.0,5596.0,3864.0,8958.0,8634.0,8114.0,7900.0,9010.0,5774.0,3648.0,8231.0,8601.0,9109.0,6823.0,8994.0,5585.0,3804.0,9368.0,8423.0,8105.0,7488.0,9209.0,5688.0,4084.0,8130.0,7409.0,8768.0,8212.0,9276.0,6224.0,4548.0,9271.0,9042.0,7973.0,7469.0,9322.0,6182.0,0.0,8790.0,8491.0,8793.0,8052.0,9057.0,5158.0,3335.0,8107.0,7478.0,7204.0,6885.0,6764.0,3506.0,2177.0,5756.0,5740.0,5996.0,5910.0,5704.0,2949.0,1742.0,5689.0,5444.0,5685.0,5627.0,5437.0,2608.0,1656.0,5563.0,5356.0,5581.0,5442.0,5221.0,2641.0,1414.0,5491.0,5835.0,5804.0,5775.0,5498.0,2740.0,1666.0,3756.0,5796.0,5879.0,5089.0,5798.0,3003.0,1952.0,6081.0,6136.0,6191.0,6228.0,6262.0,3367.0,2087.0,6401.0,6455.0,6662.0,6470.0,6276.0,3518.0,2108.0,6684.0,6626.0,6693.0,6764.0,6763.0,3737.0,2437.0,7017.0,7119.0,7350.0,6928.0,6723.0,3681.0,2327.0,2903.0,7499.0,7457.0,6469.0,7232.0,4160.0,1827.0,7518.0,7625.0,7653.0,7468.0,7561.0,4116.0,2658.0,7950.0,7839.0,7597.0,8023.0,7682.0,4626.0,2706.0,7745.0,7971.0,8188.0,8282.0,7758.0,4484.0,2689.0,8317.0,7943.0,8203.0,8297.0,7899.0,4655.0,2849.0,8220.0,8349.0,8431.0,8173.0,4992.0,2916.0,2679.0,7984.0,8142.0,8053.0,8234.0,7924.0,4643.0,2941.0,8183.0,8172.0,8021.0,8142.0,7855.0,4551.0,2959.0,8289.0,8180.0,8029.0,8360.0,7907.0,4469.0,2934.0,8314.0,8223.0,8261.0,8222.0,8097.0,4629.0,2997.0,8508.0,8377.0,8380.0,8372.0,8102.0,4583.0,3121.0,8355.0,8575.0,8560.0,8580.0,8434.0,4582.0,2995.0,8369.0,8467.0,8526.0,8433.0,7268.0,4264.0,2659.0,8023.0,7343.0,7333.0,8664.0,8354.0,4579.0,2748.0
8:00:00,4094.0,8764.0,8010.0,6213.0,4994.0,7437.0,6878.0,7686.0,7998.0,8670.0,6666.0,5013.0,7293.0,7358.0,6252.0,8013.0,9429.0,6768.0,5140.0,7188.0,8240.0,8331.0,8181.0,8418.0,6892.0,5060.0,7732.0,7542.0,7921.0,8544.0,8221.0,6926.0,4835.0,8487.0,8477.0,7570.0,7940.0,8658.0,6867.0,4732.0,8922.0,8181.0,8100.0,6364.0,8796.0,6910.0,4774.0,8915.0,7325.0,7934.0,7267.0,8969.0,6922.0,5305.0,7385.0,6028.0,8369.0,6938.0,8871.0,7813.0,5947.0,8252.0,5837.0,8721.0,7459.0,8416.0,7253.0,0.0,8064.0,7277.0,8226.0,7185.0,7143.0,5975.0,3798.0,7715.0,6969.0,6778.0,6545.0,6372.0,4246.0,2528.0,5436.0,5336.0,5407.0,5468.0,5395.0,3206.0,1934.0,5212.0,5151.0,5322.0,5277.0,5128.0,2577.0,1671.0,4840.0,4872.0,4924.0,4817.0,4744.0,2839.0,1418.0,5082.0,5403.0,5193.0,5274.0,5138.0,3025.0,1733.0,4457.0,5127.0,5402.0,4658.0,5377.0,3326.0,2004.0,5551.0,5621.0,5716.0,5837.0,5870.0,3992.0,2362.0,5800.0,6217.0,5957.0,6192.0,6104.0,3971.0,2355.0,5964.0,6135.0,6279.0,6556.0,6547.0,4423.0,2644.0,6396.0,6534.0,7176.0,6762.0,6696.0,4636.0,2667.0,3078.0,7016.0,7100.0,6074.0,6778.0,4848.0,2036.0,7017.0,6892.0,7334.0,7098.0,7290.0,4981.0,3178.0,7330.0,7189.0,7304.0,7537.0,7528.0,5364.0,3338.0,7151.0,7607.0,7625.0,7916.0,7848.0,5290.0,3355.0,8110.0,7815.0,7965.0,8171.0,8127.0,5536.0,3712.0,7942.0,8035.0,8020.0,8135.0,5899.0,3550.0,3457.0,7585.0,7771.0,7983.0,7976.0,7807.0,5488.0,3576.0,7879.0,8065.0,7975.0,8037.0,7899.0,5562.0,3640.0,7886.0,8023.0,7919.0,8416.0,8097.0,5417.0,3666.0,8186.0,8137.0,8135.0,8481.0,7858.0,5668.0,3726.0,8173.0,8157.0,8353.0,8311.0,8114.0,5637.0,3833.0,8221.0,8362.0,8491.0,8564.0,8681.0,5757.0,3527.0,8084.0,8101.0,8709.0,7596.0,7156.0,5438.0,3318.0,7517.0,7353.0,8621.0,8304.0,8111.0,5611.0,3558.0
9:00:00,4821.0,8378.0,7699.0,7743.0,6708.0,8289.0,7227.0,7955.0,8350.0,8581.0,7931.0,6282.0,7460.0,7764.0,7834.0,8608.0,8911.0,8611.0,6647.0,7722.0,7690.0,7676.0,7370.0,8509.0,8142.0,6455.0,8472.0,8421.0,8028.0,8498.0,8268.0,8019.0,6251.0,8697.0,8146.0,8275.0,7396.0,8547.0,7900.0,6327.0,8431.0,8174.0,7715.0,6798.0,8940.0,8237.0,6200.0,8676.0,7191.0,7810.0,7510.0,9029.0,8396.0,6843.0,8235.0,7041.0,7971.0,8435.0,8888.0,9138.0,7055.0,8771.0,6712.0,8104.0,7874.0,9223.0,8612.0,0.0,8752.0,7720.0,7925.0,8476.0,8345.0,7263.0,5173.0,7221.0,6949.0,6479.0,6295.0,6391.0,5092.0,3245.0,4949.0,5315.0,5141.0,5113.0,5090.0,3834.0,2392.0,4759.0,4682.0,4878.0,4824.0,4829.0,3146.0,2080.0,4287.0,4238.0,4339.0,4410.0,4379.0,3238.0,1754.0,4376.0,4553.0,4669.0,4721.0,4773.0,3525.0,1904.0,4485.0,5025.0,5050.0,4300.0,5105.0,3990.0,2579.0,5162.0,5206.0,5394.0,5490.0,5906.0,3422.0,3080.0,5641.0,5715.0,5908.0,5844.0,6025.0,4897.0,3209.0,5851.0,5896.0,6167.0,6204.0,6678.0,5436.0,3598.0,6050.0,6247.0,6842.0,6543.0,6977.0,5671.0,3653.0,3961.0,6481.0,6595.0,6208.0,6951.0,5894.0,3053.0,6683.0,6740.0,6908.0,6772.0,7247.0,5823.0,4313.0,6785.0,6895.0,6897.0,7336.0,7531.0,6490.0,4331.0,5183.0,7300.0,7471.0,7470.0,7959.0,6347.0,4626.0,7473.0,7097.0,7373.0,7519.0,7744.0,6783.0,4938.0,7522.0,7541.0,7685.0,7821.0,7090.0,4861.0,4342.0,7510.0,7682.0,7552.0,7495.0,8000.0,6585.0,4660.0,7232.0,7395.0,7810.0,7867.0,7600.0,6483.0,4665.0,7484.0,7402.0,7753.0,7969.0,7847.0,6686.0,4853.0,7193.0,7451.0,7697.0,7847.0,8359.0,6855.0,4858.0,7691.0,7655.0,7629.0,7845.0,7993.0,6683.0,4864.0,7448.0,7539.0,7860.0,7742.0,8312.0,6748.0,5053.0,7410.0,7430.0,7774.0,6822.0,7494.0,7072.0,4543.0,7117.0,6961.0,7538.0,7892.0,7709.0,6859.0,4691.0
